Date,Open,High,Low,Close,Volume,Name
2001-07-20,14.5,14.83,14.25,14.66,1785800,HDFC
2001-07-23,15.0,15.5,14.75,15.5,442800,HDFC
2001-07-24,15.5,15.65,15.29,15.29,420200,HDFC
2001-07-25,14.85,15.0,14.65,14.65,179000,HDFC
2001-07-26,14.65,14.75,14.65,14.65,178400,HDFC
2001-07-27,14.65,14.8,14.65,14.65,89700,HDFC
2001-07-30,14.75,14.75,14.5,14.6,210500,HDFC
2001-07-31,14.81,15.0,14.4,14.65,73900,HDFC
2001-08-01,14.75,15.05,14.75,14.99,88700,HDFC
2001-08-02,14.89,15.0,14.62,15.0,122400,HDFC
2001-08-03,14.9,15.25,14.9,15.0,57600,HDFC
2001-08-06,15.0,15.18,14.83,15.0,76400,HDFC
2001-08-07,15.05,15.75,15.05,15.45,131500,HDFC
2001-08-08,15.45,16.0,15.45,15.85,162600,HDFC
2001-08-09,16.1,16.99,15.95,16.35,101800,HDFC
2001-08-10,16.3,16.35,15.9,15.92,18200,HDFC
2001-08-13,15.9,16.0,15.8,16.0,24500,HDFC
2001-08-14,16.0,16.05,15.92,16.04,32400,HDFC
2001-08-15,15.9,15.95,14.9,15.1,132900,HDFC
2001-08-16,15.1,15.6,15.1,15.5,39000,HDFC
2001-08-17,15.65,15.75,15.4,15.7,44500,HDFC
2001-08-20,15.85,16.0,15.5,15.95,30500,HDFC
2001-08-21,15.95,16.09,15.85,16.06,77500,HDFC
2001-08-22,16.1,16.5,16.05,16.5,21400,HDFC
2001-08-23,16.5,16.8,16.5,16.72,55900,HDFC
2001-08-24,16.8,16.8,16.5,16.5,98300,HDFC
2001-08-27,16.5,16.5,16.1,16.1,135800,HDFC
2001-08-28,16.15,16.19,15.92,15.99,58200,HDFC
2001-08-29,15.85,16.0,15.75,15.9,142100,HDFC
2001-08-30,15.85,15.85,15.5,15.7,108300,HDFC
2001-08-31,15.6,15.73,15.5,15.5,8000,HDFC
2001-09-04,15.4,15.75,15.35,15.7,31400,HDFC
2001-09-05,15.95,17.0,15.85,16.85,139300,HDFC
2001-09-06,16.6,16.6,16.25,16.25,41300,HDFC
2001-09-07,17.0,17.29,16.5,17.19,146400,HDFC
2001-09-10,17.13,17.13,16.72,16.76,100300,HDFC
2001-09-17,15.25,15.25,13.15,13.5,85300,HDFC
2001-09-18,13.65,14.02,13.0,13.0,108400,HDFC
2001-09-19,13.54,13.54,13.0,13.54,117800,HDFC
2001-09-20,13.55,13.55,13.0,13.0,61600,HDFC
2001-09-21,12.65,12.65,12.4,12.49,139500,HDFC
